"id","investor_id","name","role","linkedin_url","twitter_url"
1,1,"David Liu",NULL,NULL,NULL
2,1,"Michael Kim",NULL,NULL,NULL
3,1,"Emily Chen",NULL,NULL,NULL
4,2,"Morgan Stanley",NULL,NULL,NULL
5,2,"Goldman Sachs",NULL,NULL,NULL
6,8,"David Krane",NULL,NULL,NULL
7,19,"Vivjan Myrto",NULL,NULL,NULL
19,23,"Peter Csathy",NULL,NULL,NULL
20,23,"Seth Levine",NULL,NULL,NULL
21,23,"Nikhil Basu Trivedi",NULL,NULL,NULL
22,23,"Betsy Ziegler",NULL,NULL,NULL
23,23,"Ryan Sweeney",NULL,NULL,NULL
24,39,"Alex Levin",NULL,NULL,NULL
25,39,"Coyne Lloyd",NULL,NULL,NULL
26,39,"Arnaud Schenk",NULL,NULL,NULL
27,39,"Sarah Veit Wallis",NULL,NULL,NULL
28,39,"Aaron King",NULL,NULL,NULL
29,39,"Michael Akilian",NULL,NULL,NULL
30,39,"Rebecca Greene",NULL,NULL,NULL
31,39,"Molly Mielke",NULL,NULL,NULL
32,39,"Monica Black",NULL,NULL,NULL
33,39,"Mike Heller",NULL,NULL,NULL
34,39,"Zhenya Loginov",NULL,NULL,NULL
35,39,"Maran Nelson",NULL,NULL,NULL
36,39,"Nick Arner",NULL,NULL,NULL
37,41,"Managing Partner",NULL,NULL,NULL
40,61,"Point Nine",NULL,NULL,NULL
41,62,"Tom Houlden",NULL,NULL,NULL
42,62,"David Glick",NULL,NULL,NULL
43,62,"Pascal Van Dooren",NULL,NULL,NULL
44,62,"David Mott",NULL,NULL,NULL
45,65,"Angelina Graumann",NULL,NULL,NULL
49,86,"David Horne",NULL,NULL,NULL
50,86,"Evan Bienstock",NULL,NULL,NULL
52,89,"Nikhil Basu Chaudhary",NULL,NULL,NULL
54,100,"Dan Cobley",NULL,NULL,NULL
56,113,"Nancy Phillips",NULL,NULL,NULL
57,113,"David Fialkow",NULL,NULL,NULL
58,113,"Adam Valkin",NULL,NULL,NULL
59,114,"Managing Partner",NULL,NULL,NULL
60,115,"Managing Partner",NULL,NULL,NULL
